title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url,price_million_ngn,price_formatted
3 Bedroom Flat,750000000,Sale,Maitama,Maitama,Maitama Maitama Abuja,3,3,4,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",6NWGS,2025-12-02,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-sale-maitama-maitama-abuja-6NWGS,750.0,"₦750,000,000"
5 Bedroom Flat,2000000000,Sale,Maitama,Maitama,Minister'S Hill Maitama Maitama Abuja,5,5,6,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",7NUWQ,2025-11-18,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ministers-hill-maitama-maitama-abuja-7NUWQ,2000.0,"₦2,000,000,000"
4 Bedroom Terraced Duplex,900000000,Sale,Maitama,Maitama,Off Amazon Maitama Abuja,4,4,5,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2PBBH,2026-01-25,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-amazon-maitama-abuja-2PBBH,900.0,"₦900,000,000"
4 Bedroom Flat,600000000,Sale,Maitama,Maitama,Tarred Road Maitama Abuja,5,5,6,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2NKFW,2025-08-18,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-tarred-road-maitama-abuja-2NKFW,600.0,"₦600,000,000"
4 Bedroom Fully Detached Duplex With Bq,750000000,Sale,Maitama,Maitama,Maitama Abuja,4,4,5,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2NXHG,2025-12-12,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-maitama-abuja-2NXHG,750.0,"₦750,000,000"
Unfinished 5 Bedroom Detached Duplex With Bq,750000000,Sale,Asokoro,Asokoro,"Naf Valley Estate, Asokoro Abuja",5,5,6,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",6PBYS,2026-02-03,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-naf-valley-estate-asokoro-abuja-6PBYS,750.0,"₦750,000,000"
11 Bedroom Mansion And 1 Bedroom Guest Chalet With Bq,4000000000,Sale,Asokoro,Asokoro,"Close To Ecowas, Asokoro Abuja",10,10,10,Mansion,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",1NYZM,2026-01-06,2026-04-24,https://www.propertypro.ng/property/10-bedroom-house-for-sale-close-to-ecowas-asokoro-abuja-1NYZM,4000.0,"₦4,000,000,000"
Newly Built 8 Bedroom Fully Detached Duplex,2500000000,Sale,Asokoro,Asokoro,Asokoro Extension Asokoro Abuja,8,10,10,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",5NGDD,2025-07-19,2026-04-24,https://www.propertypro.ng/property/8-bedroom-house-for-sale-asokoro-extension-asokoro-abuja-5NGDD,2500.0,"₦2,500,000,000"
Newly Built 7 Bedroom Fully Detached Duplex,1100000000,Sale,Asokoro,Asokoro,Asokoro Abuja,7,7,7,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",7MXGS,2025-05-11,2026-04-24,https://www.propertypro.ng/property/7-bedroom-house-for-sale-asokoro-abuja-7MXGS,1100.0,"₦1,100,000,000"
8 Bedroom Detached Duplex,5000000000,Sale,Asokoro,Asokoro,Asokoro Abuja,8,8,9,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9PJAZ,2026-03-27,2026-04-24,https://www.propertypro.ng/property/8-bedroom-house-for-sale-asokoro-abuja-9PJAZ,5000.0,"₦5,000,000,000"
