title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url,price_million_ngn,price_formatted
6 Units Of 3 Bedroom With 2 Units Of 1 Bedroom Flat,2000000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,3,2,5,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9PHPB,2026-03-23,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-sale-wuse-2-abuja-9PHPB,2000.0,"₦2,000,000,000"
6 Units Of 3 Bedroom Flat,1300000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,3,4,5,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",6PAYN,2026-01-23,2026-04-24,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-wuse-2-abuja-6PAYN,1300.0,"₦1,300,000,000"
3 Bedroom Block Of Flat,300000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,3,3,5,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9PGGP,2026-03-11,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-sale-wuse-2-abuja-9PGGP,300.0,"₦300,000,000"
Distress Sale Of 8 Units Of 2 Bedroom Apartment,650000000,Sale,Gwarinpa,Gwarinpa,Gwarinpa Abuja,2,2,3,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",5NXMH,2025-12-15,2026-04-24,https://www.propertypro.ng/property/2-bedroom-house-for-sale-gwarinpa-abuja-5NXMH,650.0,"₦650,000,000"
9 Units Of 2 Bedroom Flat,120000000,Sale,Gwarinpa,Gwarinpa,6Th Avenue Gwarinpa Abuja,2,4,5,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",4PAQH,2026-01-21,2026-04-24,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-6th-avenue-gwarinpa-abuja-4PAQH,120.0,"₦120,000,000"
8 Units Of 2 Bedroom Terrace Duplex,75000000,Sale,Kubwa,Kubwa,Kubwa Abuja,2,2,3,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",5NNBQ,2025-09-12,2026-04-24,https://www.propertypro.ng/property/2-bedroom-house-for-sale-kubwa-abuja-5NNBQ,75.0,"₦75,000,000"
4 Units Of Standard 2 Bedroom Block Of Flats,300000000,Sale,Kubwa,Kubwa,F01 Fo1 Layout Kubwa Abuja,2,3,3,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",5PKPE,2026-04-10,2026-04-24,https://www.propertypro.ng/property/2-bedroom-house-for-sale-f01-fo1-layout-kubwa-abuja-5PKPE,300.0,"₦300,000,000"
19 Units Of 4 Bedroom Terraced Duplex,280000000,Sale,Dawaki,Dawaki,Dawaki Abuja,4,4,5,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",4NNTT,2025-09-18,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-dawaki-abuja-4NNTT,280.0,"₦280,000,000"
6 Units Of 3 Bedroom Terrace Duplex,400000000,Sale,Dawaki,Dawaki,Dawaki Abuja,3,3,4,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2NVNA,2025-11-24,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-sale-dawaki-abuja-2NVNA,400.0,"₦400,000,000"
Five (5) Units Of Well Finished 4 Bedroom Terraced,350000000,Sale,Guzape,Guzape,Guzape Abuja,4,4,5,House,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9PLZQ,2026-04-23,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-guzape-abuja-9PLZQ,350.0,"₦350,000,000"
