title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url,price_million_ngn,price_formatted
3 Bedroom Flat,750000000,Sale,Maitama,Maitama,Maitama Maitama Abuja,3,3,4,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",6NWGS,2025-12-02,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-sale-maitama-maitama-abuja-6NWGS,750.0,"₦750,000,000"
4 Bedroom Terraced Duplex,900000000,Sale,Maitama,Maitama,Off Amazon Maitama Abuja,4,4,5,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2PBBH,2026-01-25,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-amazon-maitama-abuja-2PBBH,900.0,"₦900,000,000"
4 Bedroom Flat,600000000,Sale,Maitama,Maitama,Tarred Road Maitama Abuja,5,5,6,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2NKFW,2025-08-18,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-tarred-road-maitama-abuja-2NKFW,600.0,"₦600,000,000"
4 Bedroom Fully Detached Duplex With Bq,750000000,Sale,Maitama,Maitama,Maitama Abuja,4,4,5,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2NXHG,2025-12-12,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-maitama-abuja-2NXHG,750.0,"₦750,000,000"
Unfinished 5 Bedroom Detached Duplex With Bq,750000000,Sale,Asokoro,Asokoro,"Naf Valley Estate, Asokoro Abuja",5,5,6,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",6PBYS,2026-02-03,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-naf-valley-estate-asokoro-abuja-6PBYS,750.0,"₦750,000,000"
Semi Finished 4 Bedroom Duplex With A Bq,250000000,Sale,Asokoro,Asokoro,Admiralty Estate Asokoro Abuja,4,4,5,Semi-Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",5NKCY,2025-08-16,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-admiralty-estate-asokoro-abuja-5NKCY,250.0,"₦250,000,000"
Newly Built 4 Bedroom Duplex,350000000,Sale,Asokoro,Asokoro,Asokoro Main Asokoro Abuja,4,4,5,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",1NTZV,2025-11-08,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-asokoro-main-asokoro-abuja-1NTZV,350.0,"₦350,000,000"
4 Bedroom Terrace Duplex With Bq,900000000,Sale,Asokoro,Asokoro,Asokoro Abuja,4,4,4,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",3PBJA,2026-01-28,2026-04-24,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-asokoro-abuja-3PBJA,900.0,"₦900,000,000"
Luxurious 5 Bedroom Semi Detached Duplex Bq,750000000,Sale,Wuse-2,Wuse,"Close To Rock View Hotel, Wuse 2 Abuja",5,5,6,Semi-Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9NTEV,2025-10-30,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-close-to-rock-view-hotel-wuse-2-abuja-9NTEV,750.0,"₦750,000,000"
5 Bedroom Terrace Duplex With Bq,550000000,Sale,Wuse-2,Wuse,Off Ademola Adetokumbo Wuse 2 Abuja,5,5,6,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",5NBUZ,2025-06-13,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-off-ademola-adetokumbo-wuse-2-abuja-5NBUZ,550.0,"₦550,000,000"
