title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url,price_million_ngn,price_formatted
5 Bedroom Flat,2000000000,Sale,Maitama,Maitama,Minister'S Hill Maitama Maitama Abuja,5,5,6,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",7NUWQ,2025-11-18,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ministers-hill-maitama-maitama-abuja-7NUWQ,2000.0,"₦2,000,000,000"
11 Bedroom Mansion And 1 Bedroom Guest Chalet With Bq,4000000000,Sale,Asokoro,Asokoro,"Close To Ecowas, Asokoro Abuja",10,10,10,Mansion,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",1NYZM,2026-01-06,2026-04-24,https://www.propertypro.ng/property/10-bedroom-house-for-sale-close-to-ecowas-asokoro-abuja-1NYZM,4000.0,"₦4,000,000,000"
Newly Built 8 Bedroom Fully Detached Duplex,2500000000,Sale,Asokoro,Asokoro,Asokoro Extension Asokoro Abuja,8,10,10,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",5NGDD,2025-07-19,2026-04-24,https://www.propertypro.ng/property/8-bedroom-house-for-sale-asokoro-extension-asokoro-abuja-5NGDD,2500.0,"₦2,500,000,000"
Newly Built 7 Bedroom Fully Detached Duplex,1100000000,Sale,Asokoro,Asokoro,Asokoro Abuja,7,7,7,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",7MXGS,2025-05-11,2026-04-24,https://www.propertypro.ng/property/7-bedroom-house-for-sale-asokoro-abuja-7MXGS,1100.0,"₦1,100,000,000"
8 Bedroom Detached Duplex,5000000000,Sale,Asokoro,Asokoro,Asokoro Abuja,8,8,9,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9PJAZ,2026-03-27,2026-04-24,https://www.propertypro.ng/property/8-bedroom-house-for-sale-asokoro-abuja-9PJAZ,5000.0,"₦5,000,000,000"
Newly Built 8 Bedroom Fully Detached Duplex,2000000000,Sale,Asokoro,Asokoro,Asokoro Extension Asokoro Abuja,10,10,10,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9NGDE,2025-07-19,2026-04-24,https://www.propertypro.ng/property/10-bedroom-house-for-sale-asokoro-extension-asokoro-abuja-9NGDE,2000.0,"₦2,000,000,000"
7 Bedroom Fully Detached Duplex,1100000000,Sale,Asokoro,Asokoro,"Asokoro Main, Asokoro Abuja",7,7,8,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",6NGNV,2025-07-23,2026-04-24,https://www.propertypro.ng/property/7-bedroom-house-for-sale-asokoro-main-asokoro-abuja-6NGNV,1100.0,"₦1,100,000,000"
5 Bedroom Duplex,1700000000,Sale,Asokoro,Asokoro,Asokoro Abuja,5,5,6,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",6NRSR,2025-10-16,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-asokoro-abuja-6NRSR,1700.0,"₦1,700,000,000"
8 Bedroom Automated Detached With Bq,3000000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,8,8,8,House,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",0NSEL,2025-10-21,2026-04-24,https://www.propertypro.ng/property/8-bedroom-house-for-sale-wuse-2-abuja-0NSEL,3000.0,"₦3,000,000,000"
6 Bedroom Fully Detached Duplex,2000000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,6,6,7,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",8NHWM,2025-08-04,2026-04-24,https://www.propertypro.ng/property/6-bedroom-house-for-sale-wuse-2-abuja-8NHWM,2000.0,"₦2,000,000,000"
4 Bedroom Duplex,1500000000,Sale,Wuse-2,Wuse,Off Amino Kano Crescent Wuse 2 Abuja,4,4,5,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",7MWHA,2025-05-05,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-amino-kano-crescent-wuse-2-abuja-7MWHA,1500.0,"₦1,500,000,000"
7 Bedroom Detached Duplex With 2 Bq,2500000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,7,7,5,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2PGGN,2026-03-11,2026-04-24,https://www.propertypro.ng/property/7-bedroom-house-for-sale-wuse-2-abuja-2PGGN,2500.0,"₦2,500,000,000"
Newly Built Luxury 7 Bedroom Semi Detached Duplex,1800000000,Sale,Jabi,Jabi,Jabi Abuja,7,7,8,Semi-Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",6PLWL,2026-04-22,2026-04-24,https://www.propertypro.ng/property/7-bedroom-house-for-sale-jabi-abuja-6PLWL,1800.0,"₦1,800,000,000"
Luxurious 7 Bedroom Detached Villa With Bq,1100000000,Sale,Katampe,Katampe,"Katampe Extention Diplomatic Zone, Katampe Extension Katampe Abuja",7,7,8,House,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",7PBRF,2026-01-30,2026-04-24,https://www.propertypro.ng/property/7-bedroom-house-for-sale-katampe-extention-diplomatic-zone-katampe-extension-katampe-abuja-7PBRF,1100.0,"₦1,100,000,000"
Luxurious 5 Bedroom Detached Duplex With Bq,2500000000,Sale,Guzape,Guzape,"Close To Fairview School, Guzape Abuja",5,5,6,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",8NQML,2025-10-05,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-close-to-fairview-school-guzape-abuja-8NQML,2500.0,"₦2,500,000,000"
8 Bedroom Detached Duplex With Bq,2500000000,Sale,Guzape,Guzape,Close To Nnpc Estate Guzape Abuja,8,8,9,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",8PAYC,2026-01-23,2026-04-24,https://www.propertypro.ng/property/8-bedroom-house-for-sale-close-to-nnpc-estate-guzape-abuja-8PAYC,2500.0,"₦2,500,000,000"
7 Bedroom Flats,3000000000,Sale,Guzape,Guzape,Close To Peace Setters School Guzape Abuja,7,7,8,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",4NXSX,2025-12-17,2026-04-24,https://www.propertypro.ng/property/7-bedroom-house-for-sale-close-to-peace-setters-school-guzape-abuja-4NXSX,3000.0,"₦3,000,000,000"
