title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url
3 Bedroom Flat,750000000,sale,Maitama,Maitama,Maitama Maitama Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6NWGS,02-Dec-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-maitama-maitama-abuja-6NWGS
5 Bedroom Flat,2000000000,sale,Maitama,Maitama,Minister's Hill Maitama Maitama Abuja,5,5,6,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7NUWQ,18-Nov-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ministers-hill-maitama-maitama-abuja-7NUWQ
4 Bedroom Terraced Duplex,900000000,sale,Maitama,Maitama,Off Amazon Maitama Abuja,4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PBBH,25-Jan-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-amazon-maitama-abuja-2PBBH
4 Bedroom Flat,600000000,sale,Maitama,Maitama,Tarred Road Maitama Abuja,5,5,6,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2NKFW,18-Aug-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-tarred-road-maitama-abuja-2NKFW
4 Bedroom Fully Detached Duplex With Bq,750000000,sale,Maitama,Maitama,Maitama Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2NXHG,12-Dec-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-maitama-abuja-2NXHG
Unfinished 5 Bedroom Detached Duplex With Bq,750000000,sale,Asokoro,Asokoro,"Naf Valley Estate, Asokoro Abuja",5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PBYS,03-Feb-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-naf-valley-estate-asokoro-abuja-6PBYS
11 Bedroom Mansion And 1 Bedroom Guest Chalet With Bq,4000000000,sale,Asokoro,Asokoro,"Close To Ecowas, Asokoro Abuja",10,10,10,Mansion,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1NYZM,06-Jan-26,24-Apr-26,https://www.propertypro.ng/property/10-bedroom-house-for-sale-close-to-ecowas-asokoro-abuja-1NYZM
Newly Built 8 Bedroom Fully Detached Duplex,2500000000,sale,Asokoro,Asokoro,Asokoro Extension Asokoro Abuja,8,10,10,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NGDD,19-Jul-25,24-Apr-26,https://www.propertypro.ng/property/8-bedroom-house-for-sale-asokoro-extension-asokoro-abuja-5NGDD
Newly Built 7 Bedroom Fully Detached Duplex,1100000000,sale,Asokoro,Asokoro,Asokoro Abuja,7,7,7,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7MXGS,11-May-25,24-Apr-26,https://www.propertypro.ng/property/7-bedroom-house-for-sale-asokoro-abuja-7MXGS
8 Bedroom Detached Duplex,5000000000,sale,Asokoro,Asokoro,Asokoro Abuja,8,8,9,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PJAZ,27-Mar-26,24-Apr-26,https://www.propertypro.ng/property/8-bedroom-house-for-sale-asokoro-abuja-9PJAZ
Newly Built 8 Bedroom Fully Detached Duplex,2000000000,sale,Asokoro,Asokoro,Asokoro Extension Asokoro Abuja,10,10,10,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9NGDE,19-Jul-25,24-Apr-26,https://www.propertypro.ng/property/10-bedroom-house-for-sale-asokoro-extension-asokoro-abuja-9NGDE
7 Bedroom Fully Detached Duplex,1100000000,sale,Asokoro,Asokoro,"Asokoro Main, Asokoro Abuja",7,7,8,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6NGNV,23-Jul-25,24-Apr-26,https://www.propertypro.ng/property/7-bedroom-house-for-sale-asokoro-main-asokoro-abuja-6NGNV
Semi Finished 4 Bedroom Duplex With A Bq,250000000,sale,Asokoro,Asokoro,Admiralty Estate Asokoro Abuja,4,4,5,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NKCY,16-Aug-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-admiralty-estate-asokoro-abuja-5NKCY
Newly Built 4 Bedroom Duplex,350000000,sale,Asokoro,Asokoro,Asokoro Main Asokoro Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1NTZV,08-Nov-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-asokoro-main-asokoro-abuja-1NTZV
4 Bedroom Terrace Duplex With Bq,900000000,sale,Asokoro,Asokoro,Asokoro Abuja,4,4,4,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PBJA,28-Jan-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-asokoro-abuja-3PBJA
5 Bedroom Duplex,1700000000,sale,Asokoro,Asokoro,Asokoro Abuja,5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6NRSR,16-Oct-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-asokoro-abuja-6NRSR
Luxurious 5 Bedroom Semi Detached Duplex Bq,750000000,sale,Wuse-2,Wuse,"Close To Rock View Hotel, Wuse 2 Abuja",5,5,6,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9NTEV,30-Oct-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-close-to-rock-view-hotel-wuse-2-abuja-9NTEV
8 Bedroom Automated Detached With Bq,3000000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,8,8,8,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0NSEL,21-Oct-25,24-Apr-26,https://www.propertypro.ng/property/8-bedroom-house-for-sale-wuse-2-abuja-0NSEL
6 Bedroom Fully Detached Duplex,2000000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,6,6,7,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8NHWM,04-Aug-25,24-Apr-26,https://www.propertypro.ng/property/6-bedroom-house-for-sale-wuse-2-abuja-8NHWM
6 Bedroom Fully Detached Duplex,2000000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,6,6,7,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7NHWM,04-Aug-25,24-Apr-26,https://www.propertypro.ng/property/6-bedroom-house-for-sale-wuse-2-abuja-7NHWM
4 Bedroom Duplex,1500000000,sale,Wuse-2,Wuse,Off Amino Kano Crescent Wuse 2 Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7MWHA,05-May-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-amino-kano-crescent-wuse-2-abuja-7MWHA
5 Bedroom Terrace Duplex With Bq,550000000,sale,Wuse-2,Wuse,Off Ademola Adetokumbo Wuse 2 Abuja,5,5,6,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NBUZ,13-Jun-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-off-ademola-adetokumbo-wuse-2-abuja-5NBUZ
5 Bedroom Detached Duplex With Bq,850000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,5,5,,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PEHD,23-Feb-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-wuse-2-abuja-4PEHD
2 Bedroom Luxury Apartment,250000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,2,2,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PCWQ,11-Feb-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-wuse-2-abuja-9PCWQ
7 Bedroom Terrace Duplex,800000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,7,7,,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PFDC,02-Mar-26,24-Apr-26,https://www.propertypro.ng/property/7-bedroom-house-for-sale-wuse-2-abuja-1PFDC
4 Bedroom Semi Detached Duplex With Bq,950000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,4,4,,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NZMT,12-Jan-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-wuse-2-abuja-5NZMT
6 Units Of 3 Bedroom With 2 Units Of 1 Bedroom Flat,2000000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,3,2,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PHPB,23-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-wuse-2-abuja-9PHPB
6 Units Of 3 Bedroom Flat,1300000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,3,,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PAYN,23-Jan-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-wuse-2-abuja-6PAYN
